	featureCounts on dataset 88 and 98: Counts	featureCounts on dataset 89 and 98: Counts	featureCounts on dataset 90 and 98: Counts	Mutant	Mutant2	Mutant3
gene-BTH_RS06690	774.758485030136	981.161178919848	947.016201912	1712.55677725666	1593.14636757017	1623.36192968346
gene-BTH_RS06700	276.855786317266	374.605377967179	429.146853208595	425.117035295476	326.661944274891	292.089468345658
gene-BTH_RS06705	228.706953914263	187.302688983589	264.238736582371	268.972152663252	208.849439782308	212.078161835131
gene-BTH_RS06710	20.791541264933	32.6690736599284	33.7531232860692	36.2659082242586	29.4531261231459	28.9197493411543
MSTRG.955.1	4.37716658209117	4.35587648799045	10.608124461336	4.02954535825096	8.03267076085798	5.78394986823086
MSTRG.955.2	0	0	0	0	0	0
gene-BTH_RS06715	0	0	0	0	0	0
gene-BTH_RS06720	0	0	0	0	0	0
gene-BTH_RS06725	53.6202906306168	60.9822708318663	71.3637463762607	53.3914759968252	36.5932779105753	42.4156323670263
gene-BTH_RS06730	111.617747843325	109.985881321759	117.653744025727	111.819883691464	120.49006141287	90.6152146022834
gene-BTH_RS06735	14.2257913917963	26.1352589279427	25.0737487267943	30.2215901868822	24.098012282574	22.1718078282183
gene-BTH_RS06740	30.6401660746382	31.5801045379307	53.0406223066802	28.2068175077567	34.8082399637179	48.1995822352572
gene-BTH_RS06745	140.069330626917	201.459287569558	233.378738149393	200.469881572985	150.835706509444	171.590512757515
gene-BTH_RS06750	152.106538727668	144.832893225682	152.371242262827	131.967610482719	117.812504492584	134.95883025872
gene-BTH_RS06755	562.465905798715	581.509511146725	517.869348703405	562.121577476009	514.090928694911	589.962886559548
gene-BTH_RS06760	931.242190339896	753.566632422347	780.179335383715	915.71418266253	947.855149781242	879.16037997109
gene-BTH_RS06765	0	0	0	0	0	0
gene-BTH_RS06770	144.446497209008	148.099800591675	186.124365548896	189.388631837795	174.04119981859	181.230429204567
gene-BTH_RS33280	0	0	0	0	0	0
gene-BTH_RS06775	871.056149836142	1019.27509818976	962.446201128489	1155.47213147846	967.490567196673	893.620254641668
gene-BTH_RS06780	268.101453153084	392.02888391914	335.602482958631	364.673854921712	344.512323743465	292.089468345658
gene-BTH_RS34765	866.678983254051	933.246537551953	755.10558665692	655.808507055344	653.323888549783	646.838393597151
gene-BTH_RS06785	67.8460820224131	47.9146413678949	55.9337471597719	43.3176126011978	43.7334296980046	41.4516407223212
gene-BTH_RS06790	0	0	0	0	0	0
gene-BTH_RS06795	111.617747843325	45.7367031238997	89.6868704458411	59.4357940342016	60.6912901931492	73.2633649975909
gene-BTH_RS06800	4.37716658209117	2.17793824399522	1.9287499020611	3.02215901868822	4.46259486714332	0.963991644705143
gene-BTH_RS06805	10.9429164552279	7.62278385398328	13.5012493144277	10.0738633956274	12.4952656280013	16.3878579599874
gene-BTH_RS06810	79.8832901231638	45.7367031238997	48.2187475515275	30.2215901868822	34.8082399637179	34.7036992093851
gene-BTH_RS06815	61.2803321492763	26.1352589279427	45.3256226984358	32.2363628660077	36.5932779105753	35.6676908540903
gene-BTH_RS06820	20.791541264933	3.26690736599284	24.1093737757637	20.1477267912548	25.8830502294313	28.9197493411543
gene-BTH_RS06825	79.8832901231638	28.3131971719379	58.8268720128635	39.2880672429468	52.6586194322912	77.1193315764114
gene-BTH_RS06830	25.1687078470242	7.62278385398328	24.1093737757637	13.0960224143156	15.1728225482873	20.243824538808
gene-BTH_RS06835	0	0	0.96437495103055	0	0.892518973428665	0
gene-BTH_RS06840	0	0	0	0	1.78503794685733	3.85596657882057
gene-BTH_RS06845	0	0	0.96437495103055	0	0	0.963991644705143
gene-BTH_RS34975	0	0	0	0	0	0
gene-BTH_RS06850	94.1090815149601	71.8719620518424	90.6512453968717	124.91590610578	131.200289094014	97.3631561152195
gene-BTH_RS06855	362.210534668044	525.972085924847	511.118724046191	934.854523114222	868.420961146091	731.669658331204
gene-BTH_RS06860	50.3374156940484	46.8256722458973	50.1474974535886	37.2732945638214	43.7334296980046	40.487649077616
gene-BTH_RS06865	0	0	2.89312485309165	2.01477267912548	0.892518973428665	0.963991644705143
gene-BTH_RS34980	0	0	0	0	0	0
gene-BTH_RS06875	0	1.08896912199761	1.9287499020611	0	0.892518973428665	0
gene-BTH_RS06880	1.09429164552279	0	0	0	0	0
gene-BTH_RS06885	0	0	0	0	0	0
gene-BTH_RS06890	4.37716658209117	2.17793824399522	10.608124461336	6.04431803737644	8.92518973428665	14.4598746705771
gene-BTH_RS06895	8.75433316418233	1.08896912199761	1.9287499020611	2.01477267912548	3.57007589371466	3.85596657882057
gene-BTH_RS06900	0	0	0	0	0.892518973428665	0
gene-BTH_RS06905	0	0	0	0	0	0
gene-BTH_RS06910	33.9230410112065	9.80072209797851	37.6106230901914	19.1403404516921	26.7755692028599	25.0637827623337
gene-BTH_RS06915	0	0	0	0	0	0
gene-BTH_RS06920	53.6202906306168	50.0925796118902	59.7912469638941	58.4284076946389	53.5511384057199	50.1275655246674
gene-BTH_RS06925	53.6202906306168	33.758042781926	42.4324978453442	35.2585218846959	78.5416696617225	35.6676908540903
gene-BTH_RS06930	0	0	0	0	0	0
gene-BTH_RS06935	25.1687078470242	42.4697957579069	28.9312485309165	47.3471579594488	42.8409107245759	39.5236574329109
gene-BTH_RS06940	0	0	0	0	0	0
gene-BTH_RS06945	449.753866309867	588.04332587871	540.049972577108	589.321008644203	747.930899733221	558.151162284278
gene-BTH_RS06950	259.347119988902	336.491458697262	286.419360456073	282.068175077567	481.06772667805	283.413543543312
gene-BTH_RS06955	0	0	0	0	0	0
gene-BTH_RS34985	65.6574987313675	83.8506223938161	57.862497061833	58.4284076946389	110.672352705154	67.47941512936
gene-BTH_RS06965	56.9031655671852	50.0925796118902	43.3968727963747	28.2068175077567	72.2940368477219	36.6316824987954
gene-BTH_RS06970	10.9429164552279	1.08896912199761	3.8574998041222	5.0369316978137	15.1728225482873	2.89197493411543
gene-BTH_RS06975	0	0	0	0	0	0
gene-BTH_RS06980	107.240581261234	87.117529759809	97.4018700540855	109.805111012339	253.475388453741	82.9032814446423
gene-BTH_RS30080	0	0	0.96437495103055	0	0.892518973428665	0.963991644705143
gene-BTH_RS06995	0	0	0	0	0	0
gene-BTH_RS35575	17.5086663283647	8.71175297598089	9.6437495103055	9.06647705606466	124.952656280013	5.78394986823086
gene-BTH_RS07010	21.8858329104558	14.156598585969	14.4656242654582	9.06647705606466	102.639681944296	9.63991644705143
gene-BTH_RS07015	300.930202518768	455.189092995002	366.462481391609	437.205671370229	564.071991206916	332.577117423274
gene-BTH_RS07025	608.426154910672	948.49210525992	724.245588223943	527.870441930876	844.322948863517	515.735529917252
gene-BTH_RS07030	175.086663283647	277.687126109391	216.984363981874	146.071019236597	304.348969939175	165.806562889285
gene-BTH_RS34990	19.6972496194102	19.601444195957	16.3943741675193	9.06647705606466	24.098012282574	11.5678997364617
gene-BTH_RS07035	0	0	0	0	0	0
gene-BTH_RS07040	41.5830825298661	39.202888391914	45.3256226984358	27.199431168194	49.0885435385766	28.9197493411543
gene-BTH_RS34330	20.791541264933	14.156598585969	23.1449988247332	17.1255677725666	46.4109866182906	25.0637827623337
gene-BTH_RS07050	12.0372081007507	6.53381473198567	13.5012493144277	7.05170437693918	12.4952656280013	12.5318913811669
gene-BTH_RS07055	41.5830825298661	11.9786603419737	35.6818731881303	12.0886360747529	22.3129743357166	30.8477326305646
gene-BTH_RS07060	37.2059159477749	10.8896912199761	28.9312485309165	17.1255677725666	24.9905312560026	23.1357994729234
gene-BTH_RS07065	115.994914425416	54.4484560998806	85.8293706417189	62.4579530528899	82.1117455554372	84.8312647340526
gene-BTH_RS07070	66.7517903768903	56.6263943438758	81.9718708375967	94.6943159188975	69.6164799274359	82.9032814446423
gene-BTH_RS07075	0	0	0	0	0	0
gene-BTH_RS07080	29.5458744291154	37.0249501479188	38.574998041222	36.2659082242586	23.2054933091453	23.1357994729234
gene-BTH_RS07085	10.9429164552279	8.71175297598089	15.4299992164888	5.0369316978137	5.35511384057199	8.67592480234629
gene-BTH_RS07090	14.2257913917963	9.80072209797851	7.7149996082444	4.02954535825096	8.03267076085798	5.78394986823086
gene-BTH_RS07095	57.9974572127079	35.9359810259212	74.2568712293523	48.3545442990115	45.5184676448619	52.0555488140777
gene-BTH_RS07100	144.446497209008	227.594546497501	183.231240695804	224.647153722491	124.060137306584	177.374462625746
gene-BTH_RS33300	8.75433316418233	9.80072209797851	3.8574998041222	4.02954535825096	7.14015178742932	5.78394986823086
