GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
gene-J2S48_RS10405,648.1981963,1.186997856,0.482641867,2.459376064,0.013917874,0.035535214
gene-J2S48_RS20985,338.2351397,-3.078936001,1.253429653,-2.456409095,0.01403333,0.035803901
gene-J2S48_RS24050,30.34372595,1.707204216,0.695402573,2.454986912,0.014088972,0.0359197
gene-J2S48_RS05675,315.5601548,-1.104819943,0.450160228,-2.454281552,0.014116641,0.035964067
MSTRG.163.1,32.30871988,1.684707356,0.687677311,2.449851594,0.01429151,0.036295373
gene-J2S48_RS19100,248.3679696,1.120486309,0.457401886,2.44967575,0.014298491,0.036295373
gene-J2S48_RS05300,883.7112587,-1.178728568,0.481802573,-2.446497038,0.014425198,0.036590492
gene-J2S48_RS13340,38.86428539,-1.968688903,0.805817706,-2.443094621,0.014561919,0.036910566
gene-J2S48_RS21645,91.88704089,1.121241935,0.459208455,2.441683995,0.014618937,0.037028297
gene-J2S48_RS05615,150.1517805,1.288874892,0.528185609,2.440193126,0.014679412,0.037127483
MSTRG.3132.1,148.8397257,1.109051516,0.454541359,2.439935321,0.014689892,0.037127483
gene-J2S48_RS02335,42.04157797,-2.204937828,0.90458055,-2.437525135,0.014788186,0.037348966
gene-J2S48_RS16180,158.6936081,1.083114886,0.444501843,2.436693799,0.014822225,0.037407963
gene-J2S48_RS05240,332.3354184,-1.135716863,0.466154522,-2.436352773,0.014836208,0.037416296
MSTRG.2401.1,65.93004506,-1.65466396,0.680931931,-2.429999072,0.015098861,0.037942117
gene-J2S48_RS18900,9.5175109,2.689887507,1.108038053,2.427612932,0.015198554,0.038165258
gene-J2S48_RS18275,130.695422,1.027499049,0.42391786,2.423816371,0.015358369,0.038483811
gene-J2S48_RS12140,86.04861508,-1.631064385,0.674024439,-2.419889087,0.015525242,0.03887414
MSTRG.2981.1,690.2928621,1.073855637,0.443837932,2.419476929,0.015542847,0.038890423
gene-J2S48_RS00410,25.45476768,2.176012955,0.901169182,2.414655314,0.015750106,0.039324749
gene-J2S48_RS15445,2687.538617,1.000917695,0.414699764,2.413596011,0.015795966,0.039411159
gene-J2S48_RS22575,51.22929911,-1.578580908,0.654304085,-2.412610502,0.015838735,0.039442394
